admin2,year,month,nb_events
bam,2017,11,1
bam,2017,12,0
bam,2018,1,1
bam,2018,2,1
bam,2018,3,0
bam,2018,4,0
bam,2018,5,1
bam,2018,6,0
bam,2018,7,0
bam,2018,8,2
bam,2018,9,0
bam,2018,10,0
bam,2018,11,4
bam,2018,12,0
bam,2019,1,3
bam,2019,2,2
bam,2019,3,2
bam,2019,4,4
bam,2019,5,6
bam,2019,6,5
bam,2019,7,4
bam,2019,8,2
bam,2019,9,14
bam,2019,10,8
bam,2019,11,2
bam,2019,12,1
bam,2020,1,1
bam,2020,2,7
bam,2020,3,4
bam,2020,4,5
bam,2020,5,2
bam,2020,6,1
bam,2020,7,2
bam,2020,8,2
bam,2020,9,1
bam,2020,10,1
bam,2020,11,0
bam,2020,12,0
banwa,1997,2,0
banwa,1998,12,0
banwa,1999,1,0
banwa,1999,3,0
banwa,1999,4,0
banwa,1999,5,0
banwa,1999,6,0
banwa,1999,7,0
banwa,1999,8,0
banwa,1999,11,0
banwa,1999,12,0
banwa,2000,1,0
banwa,2000,4,0
banwa,2000,5,0
banwa,2000,10,0
banwa,2000,11,0
banwa,2000,12,0
banwa,2001,6,0
banwa,2001,7,0
banwa,2001,12,0
banwa,2002,2,0
banwa,2002,9,0
banwa,2003,10,0
banwa,2004,2,0
banwa,2004,6,0
banwa,2005,2,0
banwa,2005,10,0
banwa,2005,12,0
banwa,2006,5,0
banwa,2006,6,0
banwa,2006,7,0
banwa,2006,12,0
banwa,2007,10,0
banwa,2008,2,0
banwa,2008,3,0
banwa,2008,5,0
banwa,2008,6,0
banwa,2009,1,0
banwa,2010,2,0
banwa,2010,3,0
banwa,2010,4,0
banwa,2010,7,0
banwa,2011,1,0
banwa,2011,2,0
banwa,2011,3,0
banwa,2011,4,0
banwa,2011,5,1
banwa,2011,6,0
banwa,2011,7,0
banwa,2011,9,0
banwa,2011,12,0
banwa,2012,1,0
banwa,2012,2,0
banwa,2012,3,0
banwa,2012,4,0
banwa,2012,5,0
banwa,2012,6,0
banwa,2012,7,0
banwa,2012,8,0
banwa,2012,9,0
banwa,2012,10,0
banwa,2012,11,0
banwa,2012,12,0
banwa,2013,1,0
banwa,2013,2,0
banwa,2013,3,0
banwa,2013,5,0
banwa,2013,6,0
banwa,2013,7,0
banwa,2013,8,0
banwa,2013,9,0
banwa,2013,10,0
banwa,2013,11,0
banwa,2013,12,0
banwa,2014,1,0
banwa,2014,2,0
banwa,2014,3,0
banwa,2014,4,0
banwa,2014,5,0
banwa,2014,6,0
banwa,2014,7,0
banwa,2014,8,0
banwa,2014,9,0
banwa,2014,10,0
banwa,2014,11,0
banwa,2014,12,0
banwa,2015,1,0
banwa,2015,2,0
banwa,2015,3,0
banwa,2015,4,0
banwa,2015,5,0
banwa,2015,6,0
banwa,2015,7,0
banwa,2015,8,0
banwa,2015,9,0
banwa,2015,10,0
banwa,2015,11,0
banwa,2015,12,0
banwa,2016,1,0
banwa,2016,2,0
banwa,2016,3,0
banwa,2016,4,0
banwa,2016,5,0
banwa,2016,6,0
banwa,2016,7,0
banwa,2016,8,0
banwa,2016,9,0
banwa,2016,10,0
banwa,2016,11,0
banwa,2016,12,0
banwa,2017,1,0
banwa,2017,2,0
banwa,2017,3,0
banwa,2017,4,0
banwa,2017,5,0
banwa,2017,6,0
banwa,2017,7,0
banwa,2017,8,0
banwa,2017,9,0
banwa,2017,10,0
banwa,2017,11,0
banwa,2017,12,0
banwa,2018,1,0
banwa,2018,2,0
banwa,2018,3,0
banwa,2018,4,0
banwa,2018,5,0
banwa,2018,6,0
banwa,2018,7,0
banwa,2018,8,0
banwa,2018,9,0
banwa,2018,10,0
banwa,2018,11,0
banwa,2018,12,0
banwa,2019,1,1
banwa,2019,2,0
banwa,2019,3,0
banwa,2019,4,1
banwa,2019,5,0
banwa,2019,6,0
banwa,2019,7,0
banwa,2019,8,0
banwa,2019,9,0
banwa,2019,10,1
banwa,2019,11,0
banwa,2019,12,0
banwa,2020,1,0
banwa,2020,2,2
banwa,2020,3,0
banwa,2020,4,0
banwa,2020,5,0
banwa,2020,6,1
banwa,2020,7,0
banwa,2020,8,0
banwa,2020,9,0
banwa,2020,10,0
banwa,2020,11,0
banwa,2020,12,0
bazega,1997,2,0
bazega,1998,12,0
bazega,1999,1,0
bazega,1999,3,0
bazega,1999,4,0
bazega,1999,5,0
bazega,1999,6,0
bazega,1999,7,0
bazega,1999,8,0
bazega,1999,11,0
bazega,1999,12,0
bazega,2000,1,0
bazega,2000,4,0
bazega,2000,5,0
bazega,2000,10,0
bazega,2000,11,0
bazega,2000,12,0
bazega,2001,6,0
bazega,2001,7,0
bazega,2001,12,0
bazega,2002,2,0
bazega,2002,9,0
bazega,2003,10,0
bazega,2004,2,0
bazega,2004,6,0
bazega,2005,2,0
bazega,2005,10,0
bazega,2005,12,0
bazega,2006,5,0
bazega,2006,6,0
bazega,2006,7,0
bazega,2006,12,0
bazega,2007,10,0
bazega,2008,2,0
bazega,2008,3,0
bazega,2008,5,0
bazega,2008,6,0
bazega,2009,1,0
bazega,2010,2,0
bazega,2010,3,0
bazega,2010,4,0
bazega,2010,7,0
bazega,2011,1,0
bazega,2011,2,0
bazega,2011,3,0
bazega,2011,4,0
bazega,2011,5,0
bazega,2011,6,0
bazega,2011,7,0
bazega,2011,9,0
bazega,2011,12,0
bazega,2012,1,0
bazega,2012,2,0
bazega,2012,3,0
bazega,2012,4,0
bazega,2012,5,0
bazega,2012,6,0
bazega,2012,7,0
bazega,2012,8,0
bazega,2012,9,0
bazega,2012,10,0
bazega,2012,11,0
bazega,2012,12,0
bazega,2013,1,0
bazega,2013,2,0
bazega,2013,3,0
bazega,2013,5,0
bazega,2013,6,0
bazega,2013,7,0
bazega,2013,8,0
bazega,2013,9,0
bazega,2013,10,0
bazega,2013,11,0
bazega,2013,12,0
bazega,2014,1,0
bazega,2014,2,0
bazega,2014,3,0
bazega,2014,4,0
bazega,2014,5,0
bazega,2014,6,0
bazega,2014,7,0
bazega,2014,8,0
bazega,2014,9,0
bazega,2014,10,0
bazega,2014,11,0
bazega,2014,12,0
bazega,2015,1,0
bazega,2015,2,0
bazega,2015,3,0
bazega,2015,4,0
bazega,2015,5,0
bazega,2015,6,0
bazega,2015,7,0
bazega,2015,8,0
bazega,2015,9,0
bazega,2015,10,0
bazega,2015,11,0
bazega,2015,12,0
bazega,2016,1,0
bazega,2016,2,0
